"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"1";"68uH";"L-USL2825P";"L2825P";"L1";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADUM1250";"ADUM1250";"SO8-COOL";"U3";"Hot Swappable, Dual I2C Isolators";"";"";"Unavailable";" I²C Digital Isolator 2500Vrms 2 Channel 1Mbps 25kV/µs CMTI 8-SOIC _0.154, 3.90mm Width_ ";"";"";"";"Analog Devices";"";"";"ADUM1250";"";"";"";"SOIC-8 Analog Devices";"";"None";"";"";
"1";"ASDAIG-32.000MHZ-X-K-S-T";"ASE";"ASE";"OSC1";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"BAT54HT1G";"BAT54";"SOT23";"D2";"Schottky Diodes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BL651 - 453-00005";"453-00005";"45300005";"U9";"Bluetooth Modules (802.15.1) BL651 Series - Bluetooth v5 Module, Int. Antenna (Nordic nRF52810) Tape & Reel";"";"";"";"Bluetooth Modules (802.15.1) BL651 Series - Bluetooth v5 Module, Int. Antenna (Nordic nRF52810) Tape & Reel";"2.2mm";"Laird Technologies";"453-00005";"";"239-453-00005";"https://www.mouser.com/Search/Refine.aspx?Keyword=239-453-00005";"";"";"";"";"";"";"";"";"";
"2";"BZT52C3V3LP-7";"DIODE-MINIMELF";"MINIMELF";"D1, D3";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DMN2215UDM-7";"DMN2215UDM-7";"SOT95P285X140-6N";"Q1";"Diodes Inc DMN2215UDM-7 Dual N-channel MOSFET Transistor, 2 A, 20 V, 6-Pin SOT-26";"";"";"";"Diodes Inc DMN2215UDM-7 Dual N-channel MOSFET Transistor, 2 A, 20 V, 6-Pin SOT-26";"1.4mm";"Diodes Inc.";"DMN2215UDM-7";"";"621-DMN2215UDM-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2215UDM-7?qs=ptj1V1atRArXZWZ7Y9ryoQ%3D%3D";"";"";"";"";"";"";"";"";"";
"2";"DMN2300U-7DICT-ND";"DMN2300U-7";"SOT96P240X110-3N";"Q2, Q3";"20V N-Channel Enhancement MOSFET SOT-23 Diodes Inc DMN2300U-7 N-channel MOSFET Transistor, 1.4 A, 20 V, 3-Pin SOT-23";"";"";"";"20V N-Channel Enhancement MOSFET SOT-23 Diodes Inc DMN2300U-7 N-channel MOSFET Transistor, 1.4 A, 20 V, 3-Pin SOT-23";"1.1mm";"Diodes Inc.";"DMN2300U-7";"";"621-DMN2300U-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMN2300U-7?qs=EumP11lMQtOINdAJqf8F6Q%3D%3D";"";"";"";"";"";"";"";"";"";
"1";"DMP2240UDM-7";"DMP2240UDM-7";"SOT95P285X140-6N";"Q4";"Diodes Inc DMP2240UDM-7 Dual P-channel MOSFET Transistor, 2 A, -20 V, 6-Pin SOT-26";"";"";"";"Diodes Inc DMP2240UDM-7 Dual P-channel MOSFET Transistor, 2 A, -20 V, 6-Pin SOT-26";"1.4mm";"Diodes Inc.";"DMP2240UDM-7";"";"621-DMP2240UDM-7";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMP2240UDM-7?qs=mno522deGfakW12JLK9H1A%3D%3D";"";"";"";"";"";"";"";"";"";
"1";"DSPIC33FJ128MC804-I/PT";"DSPIC33FJ128MC804-I/PT";"QFP80P1200X1200X120-44N";"U4";"Digital Signal Controllers";"";"";"Unavailable";" dsPIC dsPIC™ 33F Microcontroller IC 16-Bit 40 MIPs 128KB _128K x 8_ FLASH 44-TQFP _10x10_ ";"";"";"";"Microchip";"";"";"DSPIC33FJ128MC804-I/PT";"";"";"";"TQFP-44 Microchip";"";"None";"";"";
"2";"FDS6675BZCT-ND";"FDS6675BZ";"SOIC127P600X175-8N";"Q9, Q88";"FDS6675BZ, P-channel MOSFET Transistor 11A 30V, 8-Pin SOIC";"";"";"";"FDS6675BZ, P-channel MOSFET Transistor 11A 30V, 8-Pin SOIC";"1.75mm";"ON Semiconductor";"FDS6675BZ";"";"512-FDS6675BZ";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/FDS6675BZ?qs=QGk6feVlqMIIlsKkGfvkgA%3D%3D";"";"";"";"";"";"";"";"";"";
"1";"MCP6002T-I_MS";"MCP6002T-I_MS";"SOP65P490X110-8N";"U6";"MCP6002T-I/MS Microchip,, Op Amp, RRIO, 1MHz, 1.8  6 V, 8-Pin MSOP";"";"";"";"MCP6002T-I/MS Microchip,, Op Amp, RRIO, 1MHz, 1.8  6 V, 8-Pin MSOP";"1.1mm";"Microchip";"MCP6002T-I/MS";"";"579-MCP6002T-I/MS";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP6002T-I-MS?qs=Q%2Fw7XRh99inDxHLK1Co8Rw%3D%3D";"";"";"";"";"";"";"";"";"";
"1";"MCP601T-I_OT";"MCP601T-I_OT";"SOT95P270X145-5N";"U5";"2.7 to 5.5V CMOS Operational Amplifier";"";"";"";"2.7 to 5.5V CMOS Operational Amplifier";"1.45mm";"Microchip";"MCP601T-I/OT";"";"579-MCP601T-I/OT";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP601T-I-OT?qs=TQnwojwsYvgI5ywjvKCAVw%3D%3D";"";"";"";"";"";"";"";"";"";
"2";"MIC5219-5.0YM5-TR";"MIC5219-5.0YM5-TR";"SOT95P280X145-5N";"U7, U8";"LDO Voltage Regulators 500mA Peak 1% Low Noise LDO";"";"";"";"LDO Voltage Regulators 500mA Peak 1% Low Noise LDO";"1.45mm";"Microchip";"MIC5219-5.0YM5-TR";"";"998-MIC5219-5.0YM5TR";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Micrel/MIC5219-50YM5-TR?qs=U6T8BxXiZAXThrqii9sAvA%3D%3D";"";"";"";"";"";"";"";"";"";
"1";"NTK3134NT1GOSCT-ND";"FDV303N";"SOT23";"Q7";"Digital FET, N-Channel";"";"";"Unavailable";" FD V303N Series N-Channel 25 V 0.45 Ohm Surface Mount Digital FET - SOT-23-3 ";"";"";"";"Fairchild Semiconductor";"";"";"FDV303N.";"";"";"";"SOT-23-3 Fairchild Semiconductor";"";"None";"";"";
"1";"PLZ9V1A-G3/H";"DIODE-MINIMELF";"MINIMELF";"D33";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS62111RSAT";"TPS62111RSAT";"QFN65P400X400X100-17N";"U1";"3.3-V, 1.5-A, 17-V Vin Step-Down Converter in QFN-16";"";"";"";"3.3-V, 1.5-A, 17-V Vin Step-Down Converter in QFN-16";"1mm";"Texas Instruments";"TPS62111RSAT";"";"595-TPS62111RSAT";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS62111RSAT?qs=Gse6rAGbi7%2FXYp5rR0x3tg%3D%3D";"";"";"";"";"";"";"";"";"";
